question,choices,answer,subject,explaination
What is the role of the supplicant in the 802.1x authentication architecture? [IEEE 802.11],"['To serve as the access server', 'To control network access', 'To terminate the link-layer authentication exchange', 'To seek access to network resources']",3,Standards specifications,The supplicant is the end user machine that seeks access to network resources in the 802.1x authentication architecture.
What is the impact of wide bandwidths in mmWave channels?,"['Enables higher data rates for communications but does not affect radar performance', 'Does not affect communications performance but enables higher range resolution in radar', 'Enables higher data rates for communications and higher range resolution in radar', 'Does not affect communications or radar performance', 'Enables higher data rates for communications and does not affect radar performance']",2,Research publications,Wide bandwidths in mmWave channels enable higher data rates for communications as well as higher range resolution in radar.
What does the term BSS stand for in the context of 802.11 networks? [IEEE 802.11],"['Basic Service System', 'Basic Service Set', 'Basic Service Station', 'Basic Service Structure']",1,Standards specifications,"BSS stands for Basic Service Set, which refers to a group of stations that communicate with each other in an 802.11 network."
What is the purpose of segmentation of RRC messages? [3GPP Release 18],"['To support sidelink communication', 'To improve the reliability of NAS message delivery', 'To enable inter-frequency handovers', 'To reduce the size of encoded RRC messages', 'To allow efficient resource allocation']",3,Standards specifications,The purpose of segmentation of RRC messages is to reduce the size of encoded RRC messages.
What is the most commonly used method for federated learning?,"['Local updating', 'Compressed communication', 'Asynchronous communication']",0,Research publications,"The most commonly used method for federated learning is local updating, specifically the method called Federated Averaging (FedAvg)."
What is the role of relaxed complementary slackness conditions in the primal-dual schema?,"['To solve the dual LP relaxation', 'To solve the primal LP relaxation', 'To compute an approximate primal-dual solution', 'To minimize the total violation of the complementary slackness conditions', 'To ensure the exactness of the primal-dual schema']",2,Research publications,The relaxed complementary slackness conditions provide an alternative and convenient way to generate a primal-dual pair of solutions that satisfies the assumptions of the primal-dual principle in the discrete case.
How can device-to-device communication extend the coverage of the IoT (Internet of Things) ecosystem?,"['By leveraging repeaters and node mobility', 'By using low-cost antennas on IoT devices', 'By storing data temporarily in satellites', 'By coordinating and relaying data with ground stations']",0,Research publications,Device-to-device communication can extend the coverage of the IoT ecosystem by leveraging repeaters and node mobility.
When is the SN Modification Confirm message sent to the MN? [3GPP Release 17],"['After the SCG is activated or deactivated', 'After the UE context is released', 'After the SN Modification Request message', 'After the BEARER CONTEXT MODIFICATION RESPONSE message', 'After the UE context setup']",0,Standards specifications,The SN Modification Confirm message is sent to the MN after the SCG is activated or deactivated.
Which refractive index profile design reduces susceptibility to microbending losses?,"['Triangular profile', 'Depressed-cladding triangular profile', 'Gaussian profile', 'Step index profile']",1,Research publications,The depressed-cladding triangular profile reduces susceptibility to microbending losses by shifting the LP11 cutoff wavelength and increasing the mode-field diameter at a specific wavelength.
Which layer in the OSI (open systems interconnection) protocol architecture is designed for delivering packets from a source node to a destination node through intermediate routers based on their IP (Internet protocol) addresses?,"['Application layer', 'Transport layer', 'Network layer', 'MAC layer', 'Physical layer']",2,Research overview,The network layer is designed for delivering packets from a source node to a destination node through intermediate routers based on their IP addresses.
